model,term,coef,std_err,p_value,ci_low,ci_high
LOGIT_GIVEPIFR_agree,Intercept,0.43190467131141813,0.9195640246961388,0.6385806748990733,-1.3704076985717148,2.234217041194551
LOGIT_GIVEPIFR_agree,C(SEX)[T.2.0],-0.07493929730367978,0.13136769312123073,0.5683694450825509,-0.3324152445534022,0.18253664994604268
LOGIT_GIVEPIFR_agree,INCOME,0.021173053961896393,0.014630269710772522,0.147838473867114,-0.007501747755324983,0.04984785567911777
LOGIT_GIVEPIFR_agree,RANK,-0.12403883357192738,0.05161515433388135,0.016254625779750186,-0.2252026771228113,-0.022874990021043456
LOGIT_GIVEPIFR_agree,SATFIN,-0.1980921362883562,0.08469299669708714,0.019338356465069016,-0.3640873595574168,-0.03209691301929565
LOGIT_GIVEPIFR_agree,FINPROS,-0.1460244440201851,0.09193462435767596,0.11220701197667757,-0.32621299669344883,0.03416410865307859
LOGIT_GIVEPIFR_agree,AGE,-0.028621525000215624,0.030723526478415187,0.3515519032129283,-0.08883853037597211,0.03159548037554086
LOGIT_GIVEPIFR_agree,I(AGE ** 2),0.0005716133450308673,0.00030574880030825863,0.061546027116268553,-2.7643291889648566e-05,0.0011708699819513832
LOGIT_GIVEPIFR_agree,EDUC,0.04954648538549234,0.05723820986490641,0.38669910009189445,-0.06263834448926944,0.16173131526025414
LOGIT_GIVEPIFR_agree,ABLITINF,0.040437818706661126,0.07150397737718503,0.571711666661655,-0.09970740170398831,0.18058303911731058
LOGIT_GIVEPIFR_agree,TECHHARM,0.21603814113491113,0.06806897635320454,0.0015045105136845501,0.08262539901812163,0.3494508832517006
LOGIT_GIVEPIPC_agree,Intercept,-0.043515567296790104,1.02325541315789,0.9660789121454493,-2.0490593240719073,1.962028189478327
LOGIT_GIVEPIPC_agree,C(SEX)[T.2.0],0.04287167898437036,0.14038300731465883,0.7600685274708074,-0.2322739593937839,0.3180173173625246
LOGIT_GIVEPIPC_agree,INCOME,0.02553496350468627,0.015970172647288686,0.10983928318651993,-0.005765999710886243,0.05683592672025878
LOGIT_GIVEPIPC_agree,RANK,-0.13546254201323835,0.055908844607155124,0.015396404560604308,-0.2450418638605088,-0.025883220165967877
LOGIT_GIVEPIPC_agree,SATFIN,0.028908082595005147,0.08917754727138448,0.7458144514366476,-0.14587669828652658,0.2036928634765369
LOGIT_GIVEPIPC_agree,FINPROS,-0.19927212648541148,0.09827303939358314,0.04258683912372126,-0.3918837443481204,-0.006660508622702566
LOGIT_GIVEPIPC_agree,AGE,-0.06699754197299905,0.0351062851273444,0.05633693438897741,-0.13580459645358822,0.001809512507590122
LOGIT_GIVEPIPC_agree,I(AGE ** 2),0.0007800049626486647,0.0003466863994489308,0.02445616710268732,0.00010051210579889349,0.0014594978194984358
LOGIT_GIVEPIPC_agree,EDUC,0.1527825671725605,0.06140546543896487,0.012842980004029038,0.03243006645827033,0.27313506788685066
LOGIT_GIVEPIPC_agree,ABLITINF,0.11176520399194233,0.0762576183281653,0.1427500043313309,-0.03769698147806318,0.26122738946194785
LOGIT_GIVEPIPC_agree,TECHHARM,0.5937295954808357,0.07487002012562011,2.1890240821852842e-15,0.4469870525128313,0.7404721384488402
